cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9_s6UJ_83TL, @laisensei6984  Strong stories don't need a bunch of special effects to be worth telling. Iron Man and the early Marvel movies prove that.,2 years ago,@gabbym333,UCKVzEqdnI5NA-tESetVj7iA,47,,https://yt3.ggpht.com/ytc/AIdro_md9oIqWuMLRHAqmc6pALd8I60HLFJqlBzPwMdgzRv3TA=s88-c-k-c0x00ffffff-no-rj,False,True,1670893753.760613
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9_sEgTUsslT," @gabbym333  That's not what I'm saying. I'm saying that if we only limit MCU's world view and story telling to Earth, it will eventually get boring. You gotta widen the scope at some point and introduce those cosmic beings into the scene.",2 years ago,@laisensei6984,UC5uO_BxCAa_tW8KRnR7S5tQ,36,,https://yt3.ggpht.com/ytc/AIdro_mg5n-SOz85JS0di6hu_8cWWyXRQuhX5Z8tkUMUitN0L18=s88-c-k-c0x00ffffff-no-rj,False,True,1670893753.761616
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9aCrcfyiTXn,"Cosmic entities aren’t need at all, they do make a good story but they could have done a ton of movies before heading off earth",2 years ago,@NotDuncan,UCVhjuT6C0F_5MweCVW4rMCw,11,,https://yt3.ggpht.com/ytc/AIdro_nEZXlT0p2a8FdB6JMVBhsev5BDBPeAggP2Z6xQr0KVH_k=s88-c-k-c0x00ffffff-no-rj,False,True,1670893753.762645
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9aCs6sd3reU," @NotDuncan , there’s a lot of MCU movies like that: Iron Man 1-3, Captain America 1-3, Black Widow, Shang Chi, Incredible Hulk, Ant-Man 1 and 2, Black Panther",2 years ago,@joeyjerry1586,UCEpa38pn2Jifpbn5qHgqpkg,8,,https://yt3.ggpht.com/1sE9qf_60kwzVvCggQUrlL0VsFvSAs6yIuM-GX30SFVp-grjUZS5EkJpZNPDvR-WAbes7-VP=s88-c-k-c0x00ffffff-no-rj,False,True,1670893753.762645
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9aYg3Mpo_8H," @NotDuncan  Remember that MCU can only make so much movies in a year. Imagine if during the whole 10 years, they focused on stores based on earth only. It would take a lifetime to get to the Multiverse Saga.",2 years ago,@justinlasola2978,UCPor-w2dS5RBRjWlvH670LQ,6,,https://yt3.ggpht.com/ytc/AIdro_nIJMBVDBQZ1O4c_j4p4itBAZRZk7xpvodTCGxShS1GxYw=s88-c-k-c0x00ffffff-no-rj,False,True,1670893753.763655
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9dM4n-c1KVM,"@Christopher Day, haven’t seen Thor 4 but I honestly loved doctor strange 2. Sure it was a multiversial movie but it wasn’t this big grand cosmic event that changed the mcu; it was a movie that focused on Strange and Wanda as characters even if some of the writing is pretty weak",2 years ago (edited),@joeyjerry1586,UCEpa38pn2Jifpbn5qHgqpkg,2,,https://yt3.ggpht.com/1sE9qf_60kwzVvCggQUrlL0VsFvSAs6yIuM-GX30SFVp-grjUZS5EkJpZNPDvR-WAbes7-VP=s88-c-k-c0x00ffffff-no-rj,False,True,1670893753.764634
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9e4xnd66WEx,"I like it simple but I also do like the new side of marvel where these characters have powers and seeing the galaxy, every time I watch a new movie it blows my mind that you go from some guy building a suit to the multiverse. You just gotta get used to it I guess.",2 years ago,@Emilio.06,UC2ynbIw79Ijg6JjT7RyO8mQ,3,,https://yt3.ggpht.com/qDRrJRXL6seTCXo9pVzJ2AeG5GL7UYgpBZMk5juVG0CTuLuxXZZNQODJJE7nM88P0IjTTWJeaPA=s88-c-k-c0x00ffffff-no-rj,False,True,1670893753.766604
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9hcAkSaVVa6," @laisensei6984  marvel is supposed to be street level heroes though, it has always shone by telling stories of humans rather than gods. DC does the ultra powered stuff well, but marvel has always been more relatable.",2 years ago,@Wabajak13,UCi3EybWWRGTwqyv3QcciKtA,1,,https://yt3.ggpht.com/ytc/AIdro_nzGtXDawuWKF73W1GZbrS9WpREhi9p8k3V34bK4X0rrg=s88-c-k-c0x00ffffff-no-rj,False,True,1670893754.029863
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9lSAEaLNoi8,Yes. All that we need is The Incredible Hulk and Iron Man. Movies that you can just sit down and watch while not thinking about how the next movie will be impacted by all these events.,1 year ago,@Allison_XypprZ,UCc46HSrwNwnv7DRLL4ya5pQ,2,,https://yt3.ggpht.com/OlGeSWv9D2fQ9-25_suLHiIgxMlRh4SDu4iu6yAP2KTJ0Z1llrR13a0Hp4pOM3KoXwN-2uoKgg=s88-c-k-c0x00ffffff-no-rj,False,True,1702429754.031868
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9oPghdVkRZf," @Destro7000 , well not anymore. I said that before we all realised the MCU didn’t care much about quality anymore. Still love Phases 1-3 but nowadays I get nervous whenever an MCU product comes up",1 year ago,@joeyjerry1586,UCEpa38pn2Jifpbn5qHgqpkg,0,,https://yt3.ggpht.com/1sE9qf_60kwzVvCggQUrlL0VsFvSAs6yIuM-GX30SFVp-grjUZS5EkJpZNPDvR-WAbes7-VP=s88-c-k-c0x00ffffff-no-rj,False,True,1702429754.033861
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9qLCq6eV3yG,Well actually all 3 iron movies were simple and grounded however they don’t hold a candle to the first one.,1 year ago,@bigmann8932,UCbGbcekaX4gvYQh2HnWeDoQ,0,,https://yt3.ggpht.com/TvFIEmYuKOnV_kf0JjLjc54QOKte2KH0pcgyGcR2gMQv0GWSXq5e1Klmsq3gIqBuL_8zGmJZOg=s88-c-k-c0x00ffffff-no-rj,False,True,1702429754.036851
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQ9xWLjpBGA-O,"Before the dark times of Disney. Scene stealing from DC, dodgy writing, retcons, poor cgi, introducing villians just to kill them off etc.",1 year ago,@jimbosolo9667,UCyVFIpC5kiy3bes9YETERKQ,0,,https://yt3.ggpht.com/ytc/AIdro_mYD0Xr-_dHjq-liMKFwCD_GLsq5jE8U3FYWq65r9s=s88-c-k-c0x00ffffff-no-rj,False,True,1702429754.038861
UgxS5fpIx1At3Ms0g714AaABAg.9Q2w5_UeATQA3yKddZwIP7,"Marvel phase 1-3 up to endgame were good with a few lackluster films (such as captain marvel, if you remove that one from the line up, then the Mcu would have been that much better) phase 4 is full of garbage (with the exception of no way home and guardians 3) with each film getting increasingly worse.",6 months ago,@geeebuttersnap2433,UCR5jTIGo6Dik9BKzCIPhciQ,1,,https://yt3.ggpht.com/ytc/AIdro_nORjyYIWeImlv59lRgvisV2wPTNRvaz6BPN6eJqOLH6WLF56Ie3Pd9ifSOmICck_CnBA=s88-c-k-c0x00ffffff-no-rj,False,True,1718237354.051861
UgxKBeYFk1gw8S0lz8V4AaABAg.8fVLyruF9Q794sAGjro4_o,"I remember watching the Tobey Spider-Man films, and thinking these are fun. But, when I watched Iron Man I was like, wow superhero movies can be really good!!",4 years ago,@connermckillips2372,UC-uxr8fdTId9kkPjt4F642Q,39,,https://yt3.ggpht.com/ytc/AIdro_k7Mgbvxze6gd4kckTG61LNzPEaMYgFa5Rkd_g1EHqKOeQ=s88-c-k-c0x00ffffff-no-rj,False,True,1607821754.289439
UgxKBeYFk1gw8S0lz8V4AaABAg.8fVLyruF9Q79CF_R1bdmyU,"Luka Mrse no I am an teenager I am 11 years old and I love almost all movies of MCU but till now Iron man is my most favorite character and IRON MAN (2008) is the best standalone movie of MCU I have watched 1st time Iron man in 2020 just 6 weeks ago and seriously, I gone crazy for the movie literally 
I love you 3000 iron man ❤",4 years ago,@riokodd1224,UCjqMVsFBbr9wfJ8-BbKv3YA,8,,https://yt3.ggpht.com/ytc/AIdro_lIfadmopujED9lMFwcGJxPQpilt4NZNibSDHfS59Q=s88-c-k-c0x00ffffff-no-rj,False,True,1607821754.682153
UgxKBeYFk1gw8S0lz8V4AaABAg.8fVLyruF9Q79KXf-gz4W5y,"I understand that sentiment to a degree but I actually disagree. Look at starwars. Starwars is timeless. It’s something that’s been enjoyed by multiple generations and more to come. If something is well put together and captivating, and popular it will always have a following.",3 years ago,@Bribickhed6,UCZ1BIWSEGA9-y5jy6kexloQ,3,,https://yt3.ggpht.com/ytc/AIdro_kyupnKYU4Mo9a6kUkoJcFPaFWWyyponm_JX2uyb8w=s88-c-k-c0x00ffffff-no-rj,False,True,1639357754.68419
